WinRate,ImbVolume,ImbRatio,AdvDetection,PATIMachineLearningInputsV2-P1-BollingerDiff,PATIMachineLearningInputsV2-P1-MovingAvgDiff,PATIMachineLearningInputsV2-P1-VolumeSpeedPerSecond,PATIMachineLearningInputsV2-P1-StdDevBB,PATIMachineLearningInputsV2-P1-TimeOfDay,ReverseStrength-P2-ReverseStrengthLine,ReverseStrength-P3-ReverseStrengthLine
0.65,28,1.25,110,7.09,8.3,4.7,3.05,95742.7,5478.1,5486.03
0.65,30,1.25,118,3.79,2.6,72.03,2,140241.03,5597.09,5601.59
0.65,31,1.25,123,4.93,1.8,67.01,2.43,154449.01,5488.24,5494.14
0.65,40,1.25,158,5.89,2.8,4.06,3.4,121600.06,5517.01,5525.06
0.65,35,1.26,136,7.05,6.04,4.09,3.9,11502.09,5645.02,5652.8
0.65,58,1.27,213,5.28,0.17,27.02,1.06,155104.02,5632.83,5636.39
0.65,27,1.28,96,9.5,5.18,5.04,2.04,115130.04,5477.5,5486.19
0.65,29,1.28,105,13.06,2.7,4.02,3.1,221941.02,5638.02,5646.2
0.65,25,1.29,86,4.69,3.7,64.02,0.94,144018.02,5473.9,5479.17
0.65,39,1.29,135,4.89,0.98,184.01,2.59,142804.01,5349.62,5356.3
0.65,26,1.31,85,3.87,1.54,42.03,1.7,154240.03,5562.7,5568.76
0.65,32,1.31,102,5,2.69,75.03,2,134731.03,5630.85,5634.39
0.65,40,1.31,130,4.7,2.25,12.02,1.47,130350.02,5650.25,5655.18
0.65,62,1.31,198,5.03,0.27,25.02,1.1,155015.02,5632.7,5636.24
0.65,29,1.32,92,3.03,1.6,33.01,1.22,163655.01,5618.19,5621.32
0.65,35,1.32,110,3.89,2.38,39.02,0.53,153715.02,5625.02,5628.87
0.65,38,1.32,117,4.56,0.49,38.01,0.89,180004.01,5697.6,5702.13
0.65,25,1.33,76,12.1,4.09,2.9,3.06,224843.9,5685.03,5691.5
0.65,26,1.33,79,4.55,0.23,76.02,1.7,142417.02,5654.33,5658.73
0.65,26,1.33,78,7.05,8.02,3.05,17.1,21033.05,5578.1,5586.7
0.65,42,1.34,123,5.08,5.07,5.2,3.05,111628.2,5522.07,5528.04
0.65,54,1.34,160,5.4,3.03,79.01,1.34,144205.01,5698.3,5703.5
0.65,26,1.35,74,11.82,5.45,44.01,2.52,124501.01,5381.47,5389.15
0.65,27,1.35,77,6.35,4.77,104.04,2.09,143619.04,5474.01,5479.99
0.65,41,1.35,118,1.5,1.2,23.02,0.6,192521.02,5671.83,5674.05
0.65,26,1.36,72,13.1,6.1,3.4,4.6,34525.4,5583.01,5594.03
0.65,30,1.36,83,11.03,8.1,5,8.05,32119,5483.2,5494.07
0.65,37,1.36,102,1.79,1.8,54.04,1.49,143020.04,5665.7,5669
0.65,125,1.36,351,2.4,0.6,11.06,1.01,201958.06,5683.4,5686.01
0.65,26,1.37,70,11.47,3.4,7.02,2.69,61020.02,5432.44,5443.76
0.65,35,1.37,94,9.8,7.9,4.08,16.9,13038.08,5577,5586
0.65,63,1.37,172,1.7,2.64,139.03,1.97,140537.03,5657.87,5661.5
0.65,36,1.38,96,3.05,2.23,45.01,0.4,160931.01,5650.33,5653.37
