WinRate,ImbVolume,ImbRatio,AdvDetection,PATIMachineLearningInputsV2-P1-BollingerDiff,PATIMachineLearningInputsV2-P1-MovingAvgDiff,PATIMachineLearningInputsV2-P1-VolumeSpeedPerSecond,PATIMachineLearningInputsV2-P1-StdDevBB,PATIMachineLearningInputsV2-P1-TimeOfDay,ReverseStrength-P2-ReverseStrengthLine,ReverseStrength-P3-ReverseStrengthLine
0.65,28,1.27,105,53.68,5.18,209.03,8.5,154829.03,19146.97,19190.55
0.65,30,1.28,108,24,0.4,30.04,11.8,175117.04,20033.67,20069.47
0.65,26,1.29,90,23.5,4.9,14.03,8.68,165608.03,20627.8,20660.7
0.65,31,1.37,83,24.06,7.09,2.3,11.9,43921.3,20582.7,20613.2
0.65,32,1.37,87,25.3,31,23.04,10.46,200843.04,18944.4,18980.2
0.65,29,1.4,72,26.98,5.9,38.04,9.01,144106.04,20132.98,20167.5
0.65,33,1.4,83,28.07,11.04,3.09,14.07,85632.09,19211,19243.6
0.65,25,1.41,61,47.1,30.1,2.5,13.04,52129.5,19733.2,19767.05
0.65,28,1.41,68,46.02,8.02,5.2,6.07,203419.2,19884.03,19925
0.65,29,1.42,69,19.7,4.09,2.5,2.03,111430.5,20590.03,20625.03
0.65,39,1.42,93,46.05,8.05,5.5,6.1,203419.5,19884.06,19925.03
0.65,55,1.42,131,38.02,33.37,68.06,16.9,140113.06,20511.5,20551.5
0.65,30,1.44,68,50.82,28,61.01,8.12,144845.01,19349.29,19391.13
0.65,29,1.45,64,32.01,9.01,11.2,6.05,192035.2,20595.01,20627.02
0.65,25,1.49,51,22,6.8,5.08,6.5,201014.08,18535,18567.9
0.65,43,1.49,88,19.7,29.34,63.02,13.4,141110.02,20541.1,20572.26
0.65,26,1.52,50,14.9,12.01,7.07,10.03,123809.07,20613.79,20649.04
0.65,28,1.54,52,26.97,5.89,38.03,9,144106.03,20132.97,20167.49
0.65,44,1.54,82,28.04,16.9,4.01,8.8,80518.01,20687.06,20720.08
0.65,30,1.55,55,21.25,21.94,45.02,14.87,135630.02,20476.4,20516.3
0.65,29,1.57,51,20.02,14.7,5.1,10.4,114406.1,20603.08,20638.4
0.65,38,1.57,67,25.39,12.6,4.04,9.06,111645.04,20595.97,20629
0.65,41,1.57,72,34.79,2.77,34.05,5.67,143812.05,19994.3,20029.36
0.65,37,1.58,64,57.06,1.5,4.8,12.04,43127.8,19110.06,19156.09
0.65,29,1.59,49,17.04,28.03,3.5,10.05,132500.5,20726.04,20762.06
0.65,25,1.6,42,28.08,14.03,25.2,3.06,180607.2,18918,18949.9
0.65,28,1.6,47,28.85,7.97,49.01,10.69,161615.01,20738.23,20776.06
0.65,47,1.61,77,31.25,12.6,23.03,7,181725.03,18940.3,18973.3
0.65,52,1.63,83,32.3,26.59,42.01,14.58,194226.01,19849.35,19888.01
0.65,26,1.65,40,13.2,13.77,22.03,11.95,184416.03,20686.2,20715.4
0.65,32,1.65,49,34.08,6.5,3.09,6.01,120001.09,19695.03,19729.3
